"SystemNumber"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"441-1"	"Infiltration"	480	0.364556962025316	15800	"Rockland St"	2011-04-08	"Closed"
"441-2"	"Infiltration"	3391	0.456444195176669	89150	"Rockland St"	2011-04-08	"Closed"
"441-3"	"Infiltration"	1902	0.308849797023004	73900	"Rockland St"	2011-04-08	"Closed"
"441-4"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-5"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-6"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-7"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-8"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-9"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-10"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-11"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-12"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-13"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-14"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-15"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-16"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-17"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-18"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-19"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-20"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-21"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-22"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-23"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-24"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-25"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-26"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-27"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-28"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-29"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-30"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-31"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-32"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-33"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-34"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-35"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-36"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-37"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-38"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-39"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-40"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-41"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-42"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-43"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-44"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
"441-45"	"Infiltration"	0	0	0	"Rockland St"	2011-04-08	"Closed"
