"SMPNumber"	"SMPTypeName"	"SMPNewVegetatedArea"	"SMPFootPrint"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"153-4-3"	"Infiltration/Storage Trench"	0	920	"Infiltration"	997	1.35954545454545	8800	"Yorktown Park"	NA	"On Hold In Design"
"153-5-1"	"Stormwater Planter"	72	72	"Infiltration"	891	1.2897466827503	8290	"Yorktown Park"	NA	"On Hold In Design"
"153-5-2"	"Stormwater Planter"	72	72	"Infiltration"	891	1.2897466827503	8290	"Yorktown Park"	NA	"On Hold In Design"
"153-5-3"	"Infiltration/Storage Trench"	0	836	"Infiltration"	891	1.2897466827503	8290	"Yorktown Park"	NA	"On Hold In Design"
"153-6-1"	"Stormwater Planter"	99	33	"Detention/Slow Release"	1327	1.46091743119266	10900	"Yorktown Park"	NA	"On Hold In Design"
"153-6-2"	"Stormwater Planter"	99	99	"Detention/Slow Release"	1327	1.46091743119266	10900	"Yorktown Park"	NA	"On Hold In Design"
"153-6-3"	"Stormwater Planter"	99	99	"Detention/Slow Release"	1327	1.46091743119266	10900	"Yorktown Park"	NA	"On Hold In Design"
"153-6-4"	"Infiltration/Storage Trench"	0	1191	"Detention/Slow Release"	1327	1.46091743119266	10900	"Yorktown Park"	NA	"On Hold In Design"
"154-1-1"	"Stormwater Tree Trench"	0	1480	"Infiltration"	1788	1.34943396226415	15900	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"154-2-1"	"Stormwater Tree Trench"	0	1840	"Infiltration"	2454	1.58322580645161	18600	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"154-3-1"	"Stormwater Tree Trench"	0	1460	"Infiltration"	2265	1.29428571428571	21000	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"154-4-1"	"Stormwater Tree Trench"	0	1760	"Infiltration"	2607	1.79793103448276	17400	"Duval St, Crittenden St, and Johnson St (Anna B. Day School)"	NA	"NTP"
"155-1-1"	"Stormwater Tree Trench"	0	1238	"Detention/Slow Release"	1703	1.11763740771124	18285	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-2-1"	"Stormwater Tree Trench"	0	1326	"Infiltration"	1318	1.0760647707171	14698	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-3-1"	"Stormwater Tree Trench"	0	990	"Detention/Slow Release"	1131	1.38489795918367	9800	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-4-1"	"Stormwater Tree Trench"	0	1360	"Infiltration"	1406	1.41781512605042	11900	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-5-1"	"Stormwater Tree Trench"	0	1679	"Detention/Slow Release"	1981	1.39670975323149	17020	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"155-6-1"	"Stormwater Tree Trench"	0	705	"Detention/Slow Release"	705	1.33860759493671	6320	"John F Kennedy Blvd from 30th St to 32nd St"	NA	"On Hold In Design"
"157-1-1"	"Stormwater Tree Trench"	0	650	"Infiltration"	871	1.07255002565418	9745	"Wakisha Charter School"	2013-04-23	"Construction Complete"
"157-2-1"	"Stormwater Tree Trench"	0	978	"Infiltration"	1162	1.18672340425532	11750	"Wakisha Charter School"	2013-04-23	"Construction Complete"
"157-3-1"	"Stormwater Tree Trench"	0	991	"Infiltration"	871	1.01308519918581	10317	"Wakisha Charter School"	2013-04-23	"Construction Complete"
"162-1-1"	"Stormwater Bumpout"	167	167	"Detention/Slow Release"	580.8	1.38560636182903	5030	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-1-2"	"Stormwater Tree Trench"	0	370	"Detention/Slow Release"	580.8	1.38560636182903	5030	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-2-1"	"Stormwater Tree Trench"	0	810	"Detention/Slow Release"	1162	1.20727272727273	11550	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-2-2"	"Stormwater Bumpout"	167	167	"Detention/Slow Release"	1162	1.20727272727273	11550	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-3-1"	"Stormwater Tree Trench"	0	1240	"Detention/Slow Release"	1742.4	1.17862457722661	17740	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-4-1"	"Stormwater Tree Trench"	0	1042	"Detention/Slow Release"	1234.2	1.94362204724409	7620	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"165-1-1"	"Stormwater Tree Trench"	0	925	"Infiltration"	1009	1.4345971563981	8440	"Chew Ave, Slocum St (Pleasant Playground)"	NA	NA
"165-2-1"	"Stormwater Tree Trench"	0	898	"Infiltration"	1293	2.0688	7500	"Chew Ave, Slocum St (Pleasant Playground)"	NA	NA
"167-1-1"	"Stormwater Tree Trench"	0	1602	"Detention/Slow Release"	2519	1.64990993941379	18321	"Little Sisters of the Poor"	2014-01-13	"Construction Complete"
"167-2-1"	"Stormwater Tree Trench"	0	1260	"Detention/Slow Release"	2415	1.32680157494735	21842	"Little Sisters of the Poor"	2014-01-13	"Construction Complete"
"167-3-1"	"Stormwater Tree Trench"	0	2566	"Detention/Slow Release"	3923	1.33009352131777	35393	"Little Sisters of the Poor"	2014-01-13	"Construction Complete"
"170-1-1"	"Stormwater Tree Trench"	0	1218	"Infiltration"	1906	2.63502304147465	8680	"Shissler Playground"	2010-10-10	"Closed"
"170-2-1"	"Stormwater Tree Trench"	0	1030	"Infiltration"	1478	1.98834080717489	8920	"Shissler Playground"	2010-10-10	"Closed"
"175-1-1"	"Stormwater Tree Trench"	0	2394	"Detention/Slow Release"	4442	1.66056074766355	32100	"Norris St, Van Pelt St, and Berks St (Frederick Douglass Elementary School)"	2012-12-24	"Construction Complete"
"176-1-1"	"Stormwater Tree Trench"	0	1494	"Infiltration"	2113.7	1.25101849568434	20275	"Philadelphia Military Academy"	2012-12-24	"Construction Complete"
"177-1-1"	"Stormwater Tree Trench"	0	1290	"Detention/Slow Release"	2852.5	2.24311926605505	15260	"22nd St, Cecil B Moore Ave (Martin Luther King Recreation Center)"	2012-12-24	"Construction Complete"
"177-2-1"	"Stormwater Tree Trench"	0	2200	"Infiltration"	3395	1.52128454070202	26780	"22nd St, Cecil B Moore Ave (Martin Luther King Recreation Center)"	2012-12-24	"Construction Complete"
"178-1-1"	"Stormwater Tree Trench"	0	1618	"Detention/Slow Release"	2518.6	2.01891783567134	14970	"Berks, Mascher (Towey Recreation Center)"	2012-12-24	"Construction Complete"
"178-2-1"	"Stormwater Tree Trench"	0	810	"Infiltration"	1203	2.47615780445969	5830	"Berks, Mascher (Towey Recreation Center)"	2012-12-24	"Construction Complete"
"179-1-1"	"Stormwater Tree Trench"	0	1163	"Infiltration"	1669	1.54061538461538	13000	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-2-1"	"Stormwater Tree Trench"	0	1163	"Detention/Slow Release"	1669	1.44086330935252	13900	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-3-1"	"Stormwater Tree Trench"	0	1494	"Infiltration"	2247	1.3727726300784	19642	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-4-1"	"Stormwater Tree Trench"	0	1520	"Infiltration"	1837	1.0422695035461	21150	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-5-1"	"Stormwater Tree Trench"	0	2272	"Infiltration"	3396	1.51776536312849	26850	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-6-1"	"Stormwater Tree Trench"	0	2275	"Infiltration"	3413	1.47429805615551	27780	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-7-1"	"Stormwater Tree Trench"	0	858	"Infiltration"	1276	1.57855670103093	9700	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-8-1"	"Stormwater Tree Trench"	0	910	"Infiltration"	1360	1.54253308128544	10580	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-9-1"	"Stormwater Tree Trench"	0	864	"Infiltration"	1286	1.58830794565665	9716	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-10-1"	"Stormwater Tree Trench"	0	882	"Infiltration"	1315	1.578	10000	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-11-1"	"Stormwater Tree Trench"	0	1498	"Infiltration"	2253	1.54712446351931	17475	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-12-1"	"Stormwater Tree Trench"	0	763	"Detention/Slow Release"	1889	1.12051408798814	20230	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-13-1"	"Stormwater Tree Trench"	0	1358	"Infiltration"	1981	1.415	16800	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"179-14-1"	"Stormwater Tree Trench"	0	1090	"Infiltration"	1600	1.48549323017408	12925	"Morris Leeds Middle School"	2013-05-21	"Construction Complete"
"180-1-1"	"Stormwater Tree Trench"	0	688	"Infiltration"	454	1.12818388900393	4829	"Reese St"	2011-11-05	"Closed"
"181-1-1"	"Rain Garden"	0	1238	"Infiltration"	1260	0.7875	19200	"47th & Grays Ferry"	2007-04-01	"Closed"
"185-1-1"	"Infiltration/Storage Trench"	0	1890	"Infiltration"	3080	1.1366362210536	32517	"Clark Park Basketball Court"	2007-11-01	"Closed"
"186-1-1"	"Rain Garden"	0	975	"Infiltration"	691	0.305459367862669	27146	"Cliveden Park"	2007-10-01	"Closed"
"186-2-1"	"Rain Garden"	0	936	"Detention/Slow Release"	3687	1.75508746876116	25209	"Cliveden Park"	2007-10-01	"Closed"
"187-1-1"	"Stormwater Planter"	67.33	50	"Infiltration"	20	3.11688311688312	77	"Columbus Square"	2010-05-26	"Closed"
"187-2-1"	"Stormwater Planter"	67.33	50	"Infiltration"	20	3.11688311688312	77	"Columbus Square"	2010-05-26	"Closed"
"187-3-1"	"Stormwater Planter"	67.33	50	"Detention/Slow Release"	1021	1.58008769667269	7754	"Columbus Square"	2010-05-26	"Closed"
"187-3-2"	"Stormwater Planter"	67.33	50	"Detention/Slow Release"	1021	1.58008769667269	7754	"Columbus Square"	2010-05-26	"Closed"
"187-3-3"	"Infiltration/Storage Trench"	0	787	"Detention/Slow Release"	1021	1.58008769667269	7754	"Columbus Square"	2010-05-26	"Closed"
"192-1-1"	"Infiltration/Storage Trench"	0	456	"Infiltration"	551	1.02416356877323	6456	"Herron Playground Basketball Court"	2012-10-02	"Closed"
"192-2-1"	"Pervious Paving"	0	8024	"Infiltration"	2150	3.21535393818544	8024	"Herron Playground Basketball Court"	2012-10-02	"Closed"
"194-1-1"	"Rain Garden"	0	1120	"Detention/Slow Release"	849	1.2735	8000	"Liberty Lands"	NA	"Closed"
"196-1-1"	"Swale"	0	540	"Infiltration"	360	0.309855114043896	13942	"West Mill Creek Farm Swales"	2006-05-01	"Closed"
"196-1-2"	"Rain Garden"	1200	1200	"Infiltration"	360	0.309855114043896	13942	"West Mill Creek Farm Swales"	2006-05-01	"Closed"
"197-1-1"	"Pervious Paving"	0	9350	"Infiltration"	1870	2.4	9350	"Mill Creek Playground Basketball Court"	2006-06-02	"Closed"
"207-1-1"	"Stormwater Tree Trench"	0	656	"Infiltration"	1937	1.88424124513619	12336	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"207-1-2"	"Stormwater Tree Trench"	0	582	"Infiltration"	1937	1.88424124513619	12336	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"207-1-3"	"Pervious Paving"	0	2628	"Infiltration"	1937	1.88424124513619	12336	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"207-2-1"	"Stormwater Planter"	39	39	"Detention/Slow Release"	42.42	0.986511627906977	516	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"207-3-1"	"Stormwater Planter"	39	39	"Detention/Slow Release"	42.42	0.986511627906977	516	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"208-1-1"	"Stormwater Tree Trench"	0	222	"Infiltration"	281	0.316738681194815	10646	"Ogden St and Ramsey St (West Mill Creek Recreation Center)"	2006-01-01	"Closed"
"208-2-1"	"Stormwater Tree Trench"	0	492	"Infiltration"	426	0.946316179192892	5402	"Ogden St and Ramsey St (West Mill Creek Recreation Center)"	2006-01-01	"Closed"
